Student,LPIPS,SSIM
113590050.png,0.0,1.0
113590023.png,0.24356991052627563,0.5471108098997582
113AB0018.png,0.2609306871891022,0.6369066593193164
113590045.png,0.2878115773200989,0.5798649757822963
113590022.png,0.29385852813720703,0.6002059852799172
113590052.png,0.29921087622642517,0.5485373261586156
113590018.png,0.3004690706729889,0.566991325342487
113590021.png,0.31927865743637085,0.5649925982843581
113590028.png,0.32413432002067566,0.550834611320557
113590059.png,0.32701170444488525,0.5299106504237828
112590040.png,0.32794567942619324,0.5901097290635703
113590001.png,0.34441739320755005,0.5827629128664226
113590039.png,0.352302223443985,0.6128698576566599
112590452.png,0.3581618666648865,0.5380662483077812
112590454.png,0.3598260283470154,0.5424106026917832
113590061.png,0.3642119765281677,0.5663964125463955
111590062.png,0.36652645468711853,0.5709060608544703
113590051.png,0.366892009973526,0.5850732696926366
113370239.png,0.3677157163619995,0.5748536145021054
113AC1012.png,0.37803488969802856,0.544931428970466
113590044.png,0.3791266083717346,0.5313436387570563
113590056.png,0.3842419981956482,0.5314604895119527
113590033.png,0.3846600651741028,0.5705188343779463
112590455.png,0.38877376914024353,0.587888658684744
113590062.png,0.3902074098587036,0.5080365458937521
113590040.png,0.3922445774078369,0.5689760683887315
113590451.png,0.39265888929367065,0.5295470029645964
113590049.png,0.39404866099357605,0.48383759264708887
113590011.png,0.3979742228984833,0.4934118611571801
113590036.png,0.39815402030944824,0.5086619847606844
114054809.png,0.3997719883918762,0.5575547861404541
113590002.png,0.4002077281475067,0.5513641197439997
113590015.png,0.4014533758163452,0.5677622586401113
110590455.png,0.40165582299232483,0.5563194412236708
113590031.png,0.40188419818878174,0.535075837218484
113590003.png,0.40252041816711426,0.558129817242604
111590047.png,0.40677472949028015,0.5544326053932909
113590032.png,0.4100732207298279,0.6255353135024341
113590026.png,0.41260677576065063,0.5606544189927658
113590450.png,0.41759222745895386,0.5754829407873052
112590058.jpg,0.4250066876411438,0.4530028970584886
111590028.png,0.4264889359474182,0.5660544869684284
113590006.png,0.4273514747619629,0.45484628818557626
113590060.png,0.42875999212265015,0.5939252990535291
113590042.png,0.4294193387031555,0.493460678976838
113590008.png,0.45015639066696167,0.4433715478282306
113590057.png,0.45778509974479675,0.4777626368235323
113590005.png,0.46894195675849915,0.599674388122137
113590047.png,0.47784456610679626,0.5926369459325678
113590004.png,0.48218080401420593,0.6061496309534956
113590010.png,0.5008707642555237,0.4840456729822325
113590043.png,0.5017902255058289,0.6066720109198658
113590025.png,0.5089280605316162,0.6158511967172844
111590455.png,0.5097946524620056,0.4453637468520385
113590013.png,0.5235745310783386,0.3209000291917878
111590042.png,0.5327132940292358,0.6093223675161221
